Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.
Carex umbrosa,394.69,14.41,45.824,0.299,0.4733,0.294
Carex vaginata,356.18,17.603,46.471,0.516,1.9013,0.308
Carex vesicaria,1222,19.2,60.821,0.588,0.9443,0.287
Carex vulpinoidea,509.67,27.53,54.282,0.352,0.7867,0.279
Carlina acaulis,3989,18.34,89.488,0.142,3.6645,0.185
Carlina vulgaris,308.82,15.78,63.369,0.295,1.4433,0.11
Carpinus betulus,2191.45,21.134,51.024,16.718,36.46,0.628
Carpinus caroliniana,1272.95,19.669,36.463,8.909,19.9957,0.72
Carpinus cordata,9500,33.18,62.814,16,8,0.675
Carum carvi,1254.93,29.027,45.045,0.438,2.191,0.21
Carya alba,4712,15.912,65.773,23.845,5264.226,0.73
Carya glabra,20323.71,16.982,67.573,20.84,3129.1216,0.76
Carya ovata,6186.04,17.996,74.512,26.876,4460.8685,0.73
Caryocar glabrum,3309.58,15.69,76.525,50,6900,0.671
Casearia aculeata,1855.27,26.77,58.671,10.718,8.0869,0.68
Casearia arborea,4110.34,22.746,48.512,18.677,1.6497,0.583
Casearia commersoniana,7309.07,22.179,65.859,11.57,23.18,0.615
Casearia decandra,1305.86,30.74,68.773,20,102.63,0.654
Casearia guianensis,5342.39,21.7,40.117,10.157,4.55,0.707
Casearia javitensis,6583.42,18.04,76.157,15,37.327,0.743
Casearia sylvestris,4591.92,23.168,72.339,9.848,2.5627,0.708
Cassipourea guianensis,2575.62,25.111,79.242,20.362,5.35,0.737
Castanea dentata,9604,21.997,58.263,34.01,3706.7327,0.497
Castanea sativa,7033.85,21.609,75.495,27.117,3488.8615,0.568
Castanopsis chinensis,3000,14.887,57.902,20,400,0.62
Castanopsis fissa,3000,15.138,71.5,20,1085.2916,0.455
Castilla elastica,25479.75,25.474,61.378,30,271.6214,0.316
Castilleja austromontana,160,23.22,61.728,0.34,0.18,0.327
Castilleja integra,130,17.2,69.93,0.16,0.07,0.222
Casuarina equisetifolia,11,16.038,361.011,21.193,2.6853,0.796
Catalpa speciosa,13590.78,21.376,80.645,23.418,19.753,0.38
Catananche caerulea,485,20.3,64.674,0.453,3.28,0.171
Catapodium rigidum,29.28,16.864,42.054,0.094,0.1972,0.264
Catostemma fragrans,8144.09,21.432,95.507,18.682,25584.0111,0.568
Caulophyllum thalictroides,3144.95,39.576,23.445,0.506,191.8566,0.208
Ceanothus crassifolius,199.07,13.52,416.573,3.412,9.7976,0.627
Ceanothus cuneatus,106.31,15.855,216.82,3.719,7.4397,0.695
Ceanothus fendleri,100,30.22,71.942,0.16,3.01,0.511
Ceanothus oliganthus,258.62,19.731,123.003,4.15,4.2908,0.665
Ceanothus spinosus,405.51,17.6,145.941,4.575,9.0852,0.606
Cecropia ficifolia,21261.82,19.953,68.894,7.071,0.58,0.26
Cecropia insignis,28272.54,25.295,124.252,34.991,0.5593,0.35
Cecropia longipes,100810.97,28.261,64.3,17.007,0.7,0.26
Cecropia obtusa,74004.03,19.3,113.832,25.899,0.1155,0.309
Cecropia obtusifolia,20636.62,27.634,72.109,25.813,0.681,0.281
Cecropia peltata,10409.35,17.877,62.192,5.981,0.5797,0.302
Cecropia sciadophylla,32425.92,24.989,40.667,30,1.6,0.388
Cedrela odorata,4663.87,26.911,45.477,29.456,15.7192,0.435
Cedrus deodara,27.64,14.92,162.221,39.998,114.984,0.59
Ceiba pentandra,2269.9,17.135,121.992,34.825,47.6875,0.38
Ceiba speciosa,3874.18,30,52.697,4.743,129.3197,0.318
Celtis africana,5030.41,34.091,51.473,32.404,45.5186,0.605
Celtis australis,675,26.5,51.068,23.208,182.6421,0.611
Celtis iguanaea,757.93,39.651,70.051,6.124,40.9867,0.666
Celtis occidentalis,4800,25.35,82.328,21.767,87.1522,0.49
Celtis pallida,220.52,33.875,100.473,2.443,33.7134,0.65
Centaurea aspera,936.36,27.7,61.576,0.505,3.7462,0.174
Centaurea diffusa,191.3,16.97,64.817,0.274,2.2308,0.206
Centaurea jacea,787.11,24.674,49.923,0.482,1.4104,0.341
Centaurea nigra,1025.3,24.571,48.3,0.497,2.5256,0.2
Centaurea nigrescens,2342.94,19.09,39.101,0.562,2.61,0.191
Centaurea pectinata,459,21.811,59.029,0.218,2.8898,0.2
Centaurea rhaetica,111.11,25.237,71.06,0.215,2.06,0.205
Centaurea scabiosa,4984.86,22.3,55.228,0.684,6.2991,0.195
Centaurium erythraea,251.24,21.321,49.713,0.112,0.015,0.227
Cerastium arvense,26.65,29.158,50.696,0.084,0.1832,0.213
Cerastium cerastoides,13.54,34.74,39.395,0.053,0.1515,0.2
Cerastium fontanum,109.55,19.622,35.97,0.167,0.1041,0.204
Cerastium fontanum subsp. vulgare,120.39,10.805,35.008,0.196,0.1258,0.175
Cerastium glomeratum,113.89,19.656,35.29,0.18,0.0598,0.184
Cerastium pumilum,19.42,15.25,46.447,0.068,0.0574,0.184
Cerastium purpurascens,108.7,23.26,53.591,0.25,0.49,0.185
Cerastium semidecandrum,30.08,7.661,53.172,0.072,0.0327,0.189
Ceratocarpus arenarius,11,37.9,77.251,0.05,4.01,0.32
Ceratonia siliqua,942,14.174,222.491,12.247,192.2915,0.518
Ceratophyllum demersum,32.38,42.09,22.708,0.406,4.7334,0.157
Cercis canadensis,5436.94,20.604,56.789,3.84,24.1485,0.65
Cercocarpus montanus var. glaber ,137.42,21.715,139.159,4.735,16.449,0.8
Cerinthe minor,1682.21,22.879,29.516,0.316,18.2043,0.183
Ceriops tagal,1423.02,12.761,168.681,1.095,2223.4541,0.821
Cespedesia spathulata,130321.22,15.369,86.193,27.865,0.1813,0.593
Cestrum schlechtendahlii,11177.81,27.929,55.756,8.472,10.48,0.425
Chaerophyllum hirsutum,19416.6,25.932,48.199,0.591,4.7592,0.234
Chaerophyllum roseum,1508.42,27.94,54.289,0.648,4.66,0.243
Chaetocarpus schomburgkianus,5339.19,12.871,167.026,17.903,73.2175,0.8
Chaetopappa ericoides,8,17.25,59.172,0.11,0.2683,0.232
Chamaecrista fasciculata,10.58,22.89,109.649,0.527,7.6683,0.345
Cheirolophus sempervirens,5495,28.02,31.302,0.415,9.0957,0.242
Chelidonium majus,8765.3,42.445,23.666,0.492,0.7328,0.192
Chenopodium album,644.62,35.849,49.124,0.561,0.5921,0.189
Chenopodium bonus-henricus,4677.54,51.35,36.457,0.381,1.8295,0.188
Chenopodium fremontii,630,32.04,48.309,0.54,0.3731,0.304
Chenopodium glaucum,228.83,28.622,42.456,0.226,0.2103,0.159
Chenopodium gracilispicum,280,36.82,28.653,0.15,0.22,0.138
Chilopsis linearis,369.2,15.43,232.558,8.281,7.5104,0.6
Chloris virgata,73.07,16.976,110.375,0.545,0.1503,0.25
Chondrilla juncea,301.25,21.53,113.726,0.481,0.3331,0.219
Chondrosum gracile,110,13.417,77.519,0.319,0.4162,0.367
Chondrosum hirsutum,155.25,10.876,75.646,0.15,0.612,0.345
Chondrosum simplex,18,27.97,104.167,0.08,0.36,0.234
Chrysochlamys eclipes,12438.15,12.941,97.461,7,102.2781,0.515
Chrysolepis chrysophylla,1600,8.6,71.225,21.12,496.1843,0.48
Chrysophyllum argenteum,6271.4,21.519,75,18.046,172.4457,0.757
Chrysophyllum cainito,2670.45,16.124,89.972,35.043,220.2594,0.716
Chrysophyllum gonocarpum,8098.56,31,64.537,25,4398.955,0.735
Chrysopogon gryllus,588.78,15.564,56.052,0.618,1.6449,0.281
Chrysosplenium alternifolium,286.36,23.76,27.079,0.172,0.0464,0.156
Chrysosplenium oppositifolium,142.29,26.6,42.943,0.091,0.0445,0.159
Cibotium glaucum,2149.67,15.79,91.352,3.514,0.0045,0.26
Cibotium glaucum x menziesii,977.63,17.809,120.526,2.3,2.00E-05,0.22
Cibotium menziesii,1856.97,17.83,109.77,2.07,2.00E-05,0.26
Cichorium intybus,1864.16,26.61,53.071,0.672,1.1701,0.187
Cinnamomum burmanni,675,20.4,112.36,8.243,97.3,0.489
Cinnamomum camphora,3667.7,15.61,80,8.485,106.1257,0.479
Cinnamomum subavenium,1108.4,11.9,90.1,20,106,0.47
Cinnamomum triplinerve,6981.78,17.308,97.291,23.755,327.475,0.525
Circaea alpina,683,18.354,22.645,0.142,0.6202,0.185
Circaea lutetiana,2312.64,23.653,22.219,0.335,1.9623,0.17
Cirsium acaule,2119.95,15,81.481,0.093,3.2253,0.182
Cirsium arvense,5570.16,24.722,41.83,0.653,1.6595,0.072
Cirsium dissectum,3621.47,17.25,54.021,0.461,1.9257,0.2
Cirsium heterophyllum,31623,23.624,40.501,0.682,1.9,0.157
Cirsium oleraceum,3107.25,37.14,35.268,0.882,2.6088,0.169
Cirsium palustre,3355.24,17.249,52.5,0.802,2.0733,0.09
Cirsium pannonicum,2755.37,18.17,65.297,0.608,2.1947,0.19
Cirsium vulgare,6798.49,17.26,70.623,0.922,2.6402,0.165
Cirsium wheeleri,940,15.627,108.696,0.54,12.8,0.273
Cladium mariscus,14811.15,15.5,150.37,1.486,1.8467,0.349
Clarisia biflora,5094,21,82.733,29.037,1018.0919,0.513
Clarisia racemosa,2050.23,22.445,86.197,36.593,2136.7148,0.62
Clausena anisata,670,28.95,89.686,3.5,78.78,0.48
Clidemia dentata,7091.95,20.6,38.293,3.381,0.02,0.635
Clinopodium nepeta subsp. glandulosum,108,26.62,39.68,0.312,0.1833,0.211
Clinopodium vulgare,343.27,16.097,36.991,0.357,0.3501,0.238
Coccoloba manzinellensis,32598.86,18.332,87.651,12.102,29.87,0.72
Coccoloba mollis,15690.53,24.445,66.427,20,186.48,0.604
Coffea arabica,3760.28,31.1,82.982,4.57,189.9041,0.61
Cojoba rufescens,2486.62,26.616,64.12,10.226,236.19,0.675
Cologania angustifolia,173.33,38.11,57.803,0.13,6.85,0.214
Colophospermum mopane,675,24.682,96.525,10.483,516.23,0.9
Comarum palustre,2197.21,13.36,55.303,0.371,0.4222,0.227
Combretum adenogonium,3019,13.944,120.604,7.718,97.57,0.64
Combretum apiculatum,3299.16,21.29,76.3,7.368,170.87,0.86
Combretum glutinosum,2871.72,12.84,138.764,3.785,83.43,0.9
Condalia microphylla,10.5,32.6,124.368,1.912,38.5499,0.97
Condalia montana,35.43,23.215,170.303,3.372,76,0.92
Conium maculatum,7195.55,46.28,34.031,1.222,2.5852,0.203
Conopodium majus,436.5,38.6,44.483,0.262,2.3102,0.194
Consolida regalis,395.61,19.709,41.025,0.277,1.0643,0.172
Convallaria majalis,6948.04,28.043,33.424,0.19,23.9866,0.202
Convolvulus arvensis,670.88,33.674,37.085,0.299,13.3764,0.192
Cordia alliodora,6560.78,27.65,84.57,28.429,8.2621,0.424
Cordia bicolor,5606.05,21.362,88.08,26.252,104.8945,0.451
Cordia caffra,670,35.47,82.034,7,275.43,0.71
Cordia lasiocalyx,3970.74,24.03,62.86,16.948,150.7743,0.4
Cordia megalantha,5131.7,21.325,85.69,35,149.2,0.39
Cordia nodosa,5895.76,22.087,78.888,9.25,406.9213,0.383
Cordia panamensis,10190.72,25.338,75.939,21.25,60.2556,0.395
Cordobia argentea,196.95,24.343,181.055,1.17,16.5,0.3
Coreopsis palmata,301.32,13.187,91.621,0.448,1.9295,0.259
Coreopsis tinctoria,580,14.7,69.444,0.416,0.232,0.297
Cornus florida,4993.09,18.141,46.382,8.413,101.5733,0.8
Cornus glabrata,1450,23.6,40.584,2.8,37.72,0.68
Cornus sanguinea,1547.45,22.554,52.553,2.302,56.5895,0.609
Cornus sericea,2345.51,17.55,45.505,2.663,25.7526,0.48
Cornus suecica,301.4,19.887,29.767,0.165,3.42,0.2
Coronilla coronata,243.12,25.304,60.239,0.407,10.7218,0.179
Coronilla minima,36.11,17.899,57.146,0.188,2.9802,0.207
Coronilla vaginalis,64.53,28.131,56.754,0.067,6.1921,0.158
Cortaderia rudiuscula,14429.14,11.189,204.546,1.301,0.14,0.397
Corylus avellana,3860.22,20.855,62.646,3.929,887.8259,0.605
Corylus cornuta,3166.4,19.536,33.08,3.394,472.6113,0.56
Corymbia citriodora,675,16.4,167.504,15.911,4.6584,0.812
Corymbia gummifera,2165.89,9.128,201.871,15.296,9.3833,0.755
Corymbia maculata,2740,15.594,121.065,22.86,9.0168,0.836
Corymbia terminalis,1342,10.24,271.291,10,12.7785,0.86
Corynephorus canescens,33.5,28.6,66.533,0.156,0.0972,0.311
Cosmos parviflorus,540,38.57,35.088,0.31,6.3782,0.164
Cota tinctoria,292.1,19.12,63.147,0.41,0.4374,0.205
Cotoneaster franchetii,933.01,19.94,105.078,3.127,12.7644,0.652
Couepia polyandra,8595.99,24.22,63.939,25,2100,0.74
Couratari guianensis,6833.16,23.725,132.62,51.653,236,0.506
Couratari multiflora,2259.48,24.453,90.672,22.498,109.7646,0.449
Coussarea curvigemma,3973.39,25.262,48.281,15.442,26.18,0.63
Coutarea hexandra,7970.5,22.16,42.727,9.343,3.8349,0.61
Crataegus monogyna,572.5,17.842,84.389,4.264,82.3489,0.684
Crepis biennis,6059.66,25.5,32.97,0.659,1.0717,0.16
Crepis capillaris,1488.2,27.046,35.008,0.297,0.2005,0.159
Crepis foetida,738,21.47,44.09,0.155,0.5713,0.106
Crepis froelichiana,839.86,24.448,53.015,0.255,0.59,0.194
Crepis paludosa,2260,26.252,26.676,0.555,0.5846,0.169
Crepis pyrenaica,3049.25,26.3,33.215,0.401,2.4926,0.243
Crepis tectorum,110.62,14.118,48.694,0.208,0.41,0.174
Crepis vesicaria,1080.42,24.236,51.986,0.454,0.3557,0.18
Croton billbergianus,14570.51,35.487,52.107,19.912,24,0.475
Croton capitatus,630.25,24.97,71.736,0.457,19.8989,0.567
Croton schiedeanus,5706.54,19.15,65.638,15,53,0.53
Cruciata glabra,68.67,17,30.404,0.18,1.43,0.197
Cruciata laevipes,64.54,23.98,29.716,0.395,2.7952,0.217
Cryptomeria japonica,8.4,13.761,146.266,38.689,3.0516,0.346
Cunninghamia lanceolata,700,14.442,98.935,30.546,5.6608,0.31
Cupania cinerea,12449.09,22.2,88.76,17.777,332.7823,0.557
Cupania latifolia,11425.19,19.01,97.287,21.307,244.0773,0.587
Cupania rufescens,12798.2,17.845,89.039,18.086,227.69,0.605
Cupania scrobiculata,8172.71,20.218,92.006,13.656,123.8883,0.678
Cupania seemannii,8086.1,26.885,63.212,20.26,221.72,0.708
Cupressus sempervirens,1,8.058,171.821,31.582,7.7612,0.5
Curatella americana,7696.92,9.3,120.72,2.37,18.89,0.65
Cussonia spicata,680,16.17,117.647,10.964,20.66,0.443
Cyanus segetum,239.83,17.863,47.483,0.485,4.4736,0.19
Cyanus triumfettii,1687.99,28.006,38.034,0.213,9.9797,0.139
Cyclamen purpurascens,1816.38,32.83,28.731,0.082,5.8,0.15
Cymbopetalum baillonii,10075.37,13.18,110.193,25,319.342,0.58
Cynodon dactylon,85.27,28.789,38.287,0.181,0.1719,0.237
Cynometra retusa,1309.5,11.8,128.537,30,6500,0.8
Cynosurus cristatus,346.37,21.671,40.828,0.422,0.5162,0.223
Cytisus scoparius,18.34,31.075,63.054,1.35,7.9474,0.681
Dacrydium cupressinum,3.8,10.743,109.319,30.832,6.1219,0.486
Dactylis glomerata,1457.46,20.996,44.327,0.691,0.8078,0.251
Dalea candida,58.05,29.492,94.379,0.47,1.6384,0.673
Dalea polygonoides,68,44.72,53.763,0.21,1.37,0.2
Dalea purpurea,18.69,24.3,83.859,0.536,1.8154,0.575
Daniellia oliveri,5227.04,16.216,106.719,4.062,1234.46,0.488
Danthonia decumbens,417.23,16.872,61.586,0.221,1.0357,0.262
Danthonia spicata,730.6,8.2,117.893,0.466,0.5522,0.388
Daphniphyllum pentandrum,700,18.22,70.922,8.287,6.16,0.53
Datura stramonium,14738.85,57.728,46.64,0.796,9.1799,0.161
Daucus carota,1056.88,23.188,53.553,0.418,1.0622,0.148
Delphinium grandiflorum,79,25.43,61.641,0.566,1.21,0.267
Dendropanax arboreus,5121.04,14.992,84.761,15.272,8.8692,0.416
Deschampsia cespitosa,498.52,18.138,68.975,0.616,0.2325,0.268
Deschampsia flexuosa,50.84,18.397,38.389,0.301,1.6686,0.324
Descurainia sophia,765.19,46.94,46.495,0.403,0.1105,0.188
Desmanthus illinoensis,20,30.26,48.544,0.654,5.4905,0.601
Desmopsis panamensis,6766.94,22.1,58.386,11.89,131.92,0.675
Deyeuxia hieronymi,124.16,19.932,94.958,0.662,0.3,0.385
Dialium guianense,255.52,26.269,61.012,33.7,224.6108,0.79
Dianthus armeria,231,19.75,67.586,0.407,0.3106,0.19
Dianthus chinensis,65.5,22.715,81.584,0.241,1.5349,0.273
Dianthus seguieri,122.15,17.66,62.792,0.325,0.8899,0.231
Dianthus sylvestris,173.17,29.566,129.703,0.107,0.4395,0.241
Diapensia lapponica,11.77,13.55,130.007,0.033,0.12,0.279
Dichrostachys cinerea,3351.23,25.078,131.325,4.732,28.0429,0.844
Dictamnus albus,910.82,30.492,47.969,0.78,14.8305,0.206
Digitalis grandiflora,2932.91,21.6,36.698,0.66,0.1683,0.19
Digitalis purpurea,32067.96,37.8,57.334,0.814,0.0798,0.219
Digitaria sanguinalis,504.81,13.145,27.696,0.265,0.5172,0.135
Dillenia indica,37709.95,13.6,91.912,20.062,21.65,0.58
Dioscorea oppositifolia,3009.5,24.602,27.609,1.5,4.83,0.201
Diospyros artanthifolia,6410.61,15.659,88.222,17.932,600,0.645
Diplorhynchus condylocarpon,3019,13.682,98,5.18,200.32,0.66
Diplospora dubia,2680.3,21.24,75.8,7.75,5.2,0.647
Diplotropis purpurea,2050.23,22.618,85.742,34.943,137.2061,0.752
Dipsacus fullonum,14718.35,13.782,53.84,1.22,2.7233,0.183
Dipterocarpus grandiflorus,19624.98,14.63,61.125,45,20760,0.669
Dirca occidentalis,1362.36,24.769,51.642,1.977,14.0695,0.325
Dodonaea viscosa,239.72,18.939,146.65,2.478,5.7578,1.004
Doellingeria umbellata,2098.1,14.201,40.668,0.923,0.5,0.184
Doliocarpus dentatus,7238.64,14.68,95.288,2.495,10.44,0.445
Dorycnium hirsutum,56,31.92,61.928,0.354,4.505,0.297
Draba asprella,36,9.4,80,0.01,0.09,0.29
Draba hispida,14.35,34.59,22.91,0.05,0.1,0.148
Dracophyllum longifolium,264.75,6.963,234.94,1.89,0.05,0.51
Drimys winteri,3122,8.991,141.295,14.776,7.481,0.472
Drosera rotundifolia,47.44,12.688,24.446,0.077,0.0129,0.164
Dryandra sessilis,400,8.134,214.133,2.714,13.14,0.771
Drymaria leptophylla,1.73,10.76,50,0.02,0.03,0.143
Dryobalanops lanceolata,1885,16.022,161.29,15,8300,0.58
Drypetes standleyi,3303.78,16.16,88.071,30.828,170.7,0.663
Duchesnea indica,1547.73,28.06,33.025,0.14,0.2958,0.211
Duguetia quitarensis,6136.09,26.98,53.668,14,350.1546,0.793
Dussia mexicana,3677.4,15.82,82.002,40,3400,0.51
Ecclinusa ramiflora,15411.74,18.98,103.711,22.795,1138.0588,0.577
Echeandia flavescens,840,23.96,42.735,0.23,1.11,0.136
Echinochloa crus-galli,2226.99,16.121,39.235,0.58,1.5232,0.201
Echinops ritro,1779.04,19.76,111.01,0.5,16.7503,0.19
Echium plantagineum,3162,16.98,61.2,0.287,3.4524,0.191
Echium vulgare,4523,23.6,67.138,0.511,2.8512,0.169
Ekebergia capensis,1113.25,20.807,133.131,24.495,412.0788,0.415
Elaeagnus angustifolia,1120,39.8,80.645,13.562,96.509,0.477
Elaeagnus rhamnoides,189.96,26.135,90.17,1.983,12.2081,0.501
Elaeocarpus sylvestris,3770,21.085,70.761,17.5,290,0.47
Elaphoglossum alatum,13402.58,8.92,104,0.392,2.00E-05,0.433
Elaphoglossum gayanum,1434.12,14.1,130,0.16,2.00E-05,0.433
Eleocharis palustris,276.77,19.448,75.146,0.317,0.833,0.189
Eleusine indica,769.08,26.485,37.576,0.303,0.3668,0.205
Elymus athericus,316,15,128.579,0.812,4.625,0.411
Elymus canadensis,2209.05,21.28,54.816,1.098,4.0599,0.336
Elymus caninus,1140.7,38,35.993,0.847,3.684,0.275
Elymus elymoides,360,16.768,71.942,0.323,3.2729,0.324
Elymus repens,980.81,26.453,47.325,0.572,2.3627,0.271
Elymus smithii,775.95,20.125,43.245,0.607,3.5386,0.336
Elymus trachycaulus,340.07,13.85,86.957,0.647,3.131,0.357
Embothrium coccineum,940.7,14.683,110.476,12.247,15.8821,0.49
Emmotum fagifolium,4840.28,14.061,132.586,17.944,550.7465,0.725
Endospermum diadenum,7522.64,20.783,72.938,6,9.9,0.413
Enterolobium schomburgkii,434.85,28.425,111.982,24.788,60.9875,0.689
Eperua falcata,3299.63,16.305,79.483,20.043,6015.2601,0.718
Eperua grandiflora,3063.57,15.015,126.747,21.887,12520.7137,0.719
Epilobium angustifolium,2207.76,28.668,56.708,0.832,0.0655,0.255
Epilobium brachycarpum,59,30.48,46.296,0.28,0.3152,0.185
Epilobium coloratum,205.28,18.2,41.365,1,0.1095,0.226
Epilobium fleischeri,63.43,14.642,80.04,0.277,0.1456,0.207
Epilobium hirsutum,1147.99,30.001,36.21,1.151,0.1147,0.201
Epilobium palustre,299.58,15.08,26.931,0.27,0.0639,0.127
Epilobium parviflorum,769.05,24.81,33.437,0.494,0.0797,0.178
Epipactis atrorubens,1177.63,36.77,38.415,0.393,0.01,0.198
Epipactis helleborine,1616.85,34.328,33.332,0.505,0.004,0.139
Equisetum arvense,112.82,20.038,72.615,0.349,2.00E-05,0.2
Equisetum fluviatile,156.54,14.83,72.649,0.941,2.00E-05,0.2
Equisetum palustre,65.3,29.202,102.087,0.331,2.00E-05,0.2
Equisetum sylvaticum,231.2,21.803,41.973,0.27,2.00E-05,0.2
Eragrostis cilianensis,94.11,23.174,40.7,0.222,0.07,0.275
Eragrostis mexicana,440,23.14,24.038,0.24,0.1029,0.242
Eragrostis minor,113.11,18.4,29.069,0.179,0.08,0.204
Eragrostis spectabilis,479.97,10.935,55.826,0.349,0.0475,0.284
Eremogone fendleri,32,17.36,78.125,0.07,0.36,0.3
Eremophila longifolia,255.18,14.653,252.395,3.018,2.453,0.7
Eremophila mitchellii,92.06,20.796,169.321,4.662,1.46,0.967
Erica herbacea,6.27,11.802,99.357,0.173,0.1208,0.266
Erica tetralix,3.97,11.347,102.903,0.334,0.0108,0.576
Ericameria nauseosa var. nauseosa,28.27,20.576,122.249,1,0.8178,0.643
Erigeron acer,355.5,21,53.825,0.34,0.0918,0.195
Erigeron alpinus,269.68,23.38,55.31,0.118,0.23,0.211
Erigeron annuus,771.09,13.808,41.819,0.747,0.0323,0.236
Erigeron canadensis,290.83,26.578,52.834,0.374,0.0508,0.217
Erigeron divergens,65,19.27,56.18,0.13,0.0346,0.345
Erigeron flagellaris,60,10.53,66.225,0.11,0.0387,0.223
Erigeron formosissimus,180,16.44,66.225,0.11,0.1744,0.241
Erigeron karvinskianus,217.45,23.039,31.917,0.35,0.04,0.196
Erigeron speciosus,359.55,21.43,40.78,0.33,0.1789,0.211
Erigeron strigosus,315.67,22.847,39.945,0.599,0.1561,0.366
Erigeron uniflorus,92.31,33.05,44.616,0.053,0.18,0.192
Eriobotrya japonica,12693.05,13.935,193.834,6.082,1443.8032,0.696
Eriodictyon californicum,986.04,13.775,206.563,2.397,0.2895,0.54
Eriogonum alatum,420,17.44,121.951,0.06,5.7149,0.225
Eriogonum pharnaceoides,84,17.1,71.942,0.21,0.18,0.201
Eriogonum racemosum,720,18.87,116.279,0.05,2.762,0.27
Eriogonum wrightii,309.78,20.35,29.268,0.6,0.7289,0.304
Eriophorum angustifolium,1159.4,19.233,113.744,0.28,0.4922,0.293
Eriophorum vaginatum,281.02,17.565,151.132,0.424,0.8501,0.297
Erodium cicutarium,220.59,27.493,44.602,0.108,1.7063,0.204
Erodium glaucophyllum,276.1,23.519,116.707,0.331,1.38,0.201
Eruca vesicaria,359.41,30.197,58.059,0.314,1.0319,0.164
Eryngium agavifolium,3000.73,15.832,152.367,0.172,1.412,0.18
Eryngium campestre,15555.78,20.972,122.9,0.283,1.3639,0.226
Eryngium horridum,3454.53,9.962,325.343,0.306,1.8,0.237
Eryngium yuccifolium,2573.67,8.4,149.031,0.471,2.8302,0.426
Erythrina folkersii,13130.8,27.793,48.567,8,300,0.38
Erythronium dens-canis,2122.51,32.836,51.941,0.3,3.77,0.126
Erythrophleum chlorostachys,1648.91,23.701,99.335,11.745,575.1,1.092
Erythroxylum panamense,2554.21,23.745,42.376,7.935,23.2,0.739
Eschweilera coriacea,9021,19.385,105.131,33.779,26000,0.712
Eschweilera decolorans,6813.4,22.383,110.34,30,1300.4522,0.738
Eschweilera parviflora,5610.98,21.247,95.341,18.71,2000,0.914
Eschweilera sagotiana,6341.13,12.4,145.118,21.883,1711.0727,0.799
Eucalyptus acmenoides,1178.49,11.6,213.22,30,4.91,0.86
Eucalyptus blakelyi,1618.21,15.1,204.701,8,0.5593,0.811
Eucalyptus botryoides,3165.34,8.1,122.399,8,1.9351,0.73
Eucalyptus camaldulensis,1303,26.5,233.645,38.247,0.8796,0.772
Eucalyptus diversicolor,675,11.995,210.084,48.99,3.0038,0.743
Eucalyptus dumosa,1069.47,9.393,318.8,6.732,2.2221,1.15
Eucalyptus gomphocephala,117.92,13.096,261.655,40,8.5481,0.86
Eucalyptus grandis,3019,18.975,93.809,48.674,1.1703,0.656
Eucalyptus haemastoma,2225.53,10.452,198.025,12.806,0.949,0.705
Eucalyptus intertexta,941.77,14.65,191.855,13.928,3.8223,1.03
Eucalyptus marginata,3019,8.15,203.05,28.845,32.4939,0.7
Eucalyptus obliqua,1678.84,10.542,189.905,25,10.6592,0.605
Eucalyptus paniculata,2708.52,10.717,112.957,19.748,1.4191,0.934
Eucalyptus pilularis,666.63,10.6,128.041,15,4.1979,0.752
Eucalyptus propinqua,1610.38,7.7,212.766,10,1.2804,0.885
Eucalyptus racemosa,1450.55,13.5,138.145,13,15.1079,0.796
Eucalyptus regnans,1400,18.795,185.529,90,3.0781,0.526
Eucalyptus saligna,3223.96,18.303,127.777,42.301,0.5636,0.645
Eucalyptus sideroxylon,1324.14,9.9,228.833,15,2.9637,0.92
Eucalyptus tereticornis,1832.36,15.609,87.37,27.352,0.7056,0.8
Eucalyptus tetrodonta,8500,8.843,190.786,9.491,18.6548,0.957
Eucalyptus umbra,3382.71,9.416,214.543,12.856,1.5811,0.808
Eucalyptus viminalis,1549.46,16.241,152.62,17.704,2.0336,0.662
Eucalyptus wandoo,114.82,9.37,301.327,25,1.7585,0.934
Euclea divinorum,2671.39,13.209,156.271,8.386,91.09,0.77
Eugenia cucullata,9740,11.67,185.729,17,457.9824,0.691
Eugenia florida,4350.42,17.934,70.866,22.054,100.59,0.68
Eugenia galalonensis,1937.9,18.49,68.452,17.234,101.55,0.655
Eugenia nesiotica,863.64,22.915,47.024,24.317,444.57,0.735
Eugenia patrisii,1724.64,21.897,41.996,11.57,413.62,0.829
Euonymus europaeus,1953.44,24.781,73.019,3.482,37.6394,0.582
Eupatorium cannabinum,1414.15,19.786,41.874,0.594,0.3077,0.255
Eupatorium maculatum,22296.27,15.832,66.738,1.071,0.2721,0.291
Eupatorium perfoliatum,14737.39,21.017,71.834,0.967,0.0921,0.227
Euphorbia amygdaloides,312.75,28.079,41.597,0.406,3.6339,0.243
Euphorbia brachycera,80,21.13,68.027,0.2,3.17,0.273
Euphorbia corollata,209.3,13.237,75.358,0.368,4.1792,0.48
Euphorbia cyparissias,52.3,24.2,36.4,0.193,2.1596,0.336
Euphorbia dulcis,420,40.958,30.057,0.31,2.115,0.216
Euphorbia falcata,56.57,49.809,33.859,0.209,1.4597,0.232
Euphorbia fendleri,22,9.05,80.645,0.03,0.11,0.42
